username;caption;tag;tagId;link
"lnovialance";"Follow #device #commentbackteam #art #TagsForLikes #electronics #TagsForLikes #instagood";Electronics;1;"https://scontent.cdninstagram.com/t51.2885-15/e15/12501831_1304670949559643_2017100634_n.jpg?ig_cache_key=MTIxNTc0NTk1MTYyMTIzODQxNw%3D%3D.2"
{"username":"jdmgram","username":"evogram","username":"loweredlifestyle","username":"evoload","username":"triple_diamond_society","username":"mitsubishievolution","username":"team_evolution_","username":"evolution_fest","username":"mitsubishievolution_","username":"fresh__x"};"🤔 #bagsareforgroceries";Electronics;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/1516775_1689340234656278_1967775755_n.jpg?ig_cache_key=MTIxNTc0MjE0NDA5MzA4MTY3Ng%3D%3D.2"
"unooluvsgadgets";"Floating Fish Cover for only AED 49 FREE DELIVERY. \nPhoto grabbed @ luxylime\n\nFor queries : 0502618308 / 043805335 ☺☺☺ #floatingfishcover #fish #iphone6 #unoo #unooluv #dxb #dxbonlineshop #dubaionlineshop #igersuae #uae #mobileaccessories #electronics #device #gadgets #tablet #accessories #apple #iphonesia #iphonesiaoftheday #KSA #riyadh #qatar #muscat @unooluv";Electronics;1;"https://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/1389648_1729227043978335_1200711614_n.jpg?ig_cache_key=MTIxNTczOTgwNDU0MjkxNTc5Nw%3D%3D.2.l"
"poppy___fetishbh";"#olshopmakassar l1#orange nsltq#boys 417141nn#stacks v#babies 1#electronics 4k42#discarded_butnot_forgotten idf1vn#healthycooking v9b #faithful y0kk#blackandwhite 4m#t4t 1l8hgq ld\nb\nosw";Electronics;1;"https://scontent.cdninstagram.com/t51.2885-15/e35/1516775_681397655335383_1849194585_n.jpg?ig_cache_key=MTIxNTczNTk3NzUzNjU0Mjc4OQ%3D%3D.2"
"maddy._andrienko95yv";"#cuero 2rcf1#electronics 5zm#f4f usd kr#vscoauthentic p42 #seeyousoon y #hope 2u#instafashion 744445#craftsmanship h744 ocu1#gatitos w zn#drink 0 tl73w#readers  4 cwcr4#chihuahua yz4sbbtxzeyt  q8b\n\nbw mw8ehv\nn2\nt2";Electronics;1;"https://scontent.cdninstagram.com/t51.2885-15/e35/10012588_1737555333156486_1887089972_n.jpg?ig_cache_key=MTIxNTczNTM5MDM5MDgxOTM2MA%3D%3D.2"
"rosalina.a.mne.fivaletovozp";"#electronics qiz e0#jordansdaily x6lxmxzk#t4t h4n1g4sep#motel l#gymnastics 5t1#jimmoriarty  5#tags4follow 4d1#office ekxjd544s#zamani z44#s1000rr j6 449jxd6at\ne \noh";Electronics;1;"https://scontent.cdninstagram.com/t51.2885-15/e35/11363984_997716936973360_430059240_n.jpg?ig_cache_key=MTIxNTczNTM1ODY3MzE5NTgxOQ%3D%3D.2"
"tekramarket";"💻🕹\nİyi Haftalar Dileriz!\nMSI Gaming ürünleri için web sitemizi ziyaret edebilir, 3D ile güvenli alışveriş yapabilirsiniz.\n🚚 Üstelik 250 TL üzeri alımlarınızda kargo ücreti bizden!\n_______________________________________________\n#electronics #technology #tech #gadgets #instatech #computers #laptop #notebook #teknoloji #fenerbahçe #galatasaray #beşiktaş #alisveris #indirim #elektronik #pcgamer #play #online #gaming #tekramarketcom #msi #msigaming #msinotebook #gamingnotebook _______________________________________________";Electronics;1;"https://scontent.cdninstagram.com/t51.2885-15/e15/12445802_1691812437765182_26175803_n.jpg?ig_cache_key=MTIxNTczNTI3ODUzNjUwMDc3OA%3D%3D.2"
"vivian.zhmoginovawv";"#inspiration 4#alevi e2h 2#frio 9#fun zd41#ukgirl  1#electronics 42 4#readers l81kr 63l#weee a #merrygoround 4#livefolk 1pq #dont \njj\nj2\nk\nzx\n\nw\nm\n\nxkh6\nde\nch\n\na\nb9\ni2j\nxf\nz";Electronics;1;"https://scontent.cdninstagram.com/t51.2885-15/e35/12912445_467060500164117_513913004_n.jpg?ig_cache_key=MTIxNTczNDQ1MDc2MDQ3MzIwMQ%3D%3D.2"
"natalie___garmashby";"#highsnobiety  t1g 11#compassion 34#vscocamonly g171n#e92 2dio#babiesofig l64c4ht#exoticcars e1 #followplease 51#praha 41mk#electronics 133b#pinuphair e1q14 1fu#pesta 1#footballplayer zfes31xde\n7s6\n 3";Electronics;1;"https://scontent.cdninstagram.com/t51.2885-15/e35/926432_1125736754159082_2105531029_n.jpg?ig_cache_key=MTIxNTczMzcyNjcwMzAzNDgwNA%3D%3D.2"
"blond._malkovakf";"#performance o1gn10 sg#piercing z0#lombardia h9 o#instafollow 6yh9 1#electronics eqz mi14r#nijmegen wa #films 7tcqosjv#sogood 44w31gw 1#like4like 1q6w4nxv#jk 37i\njre\n7\n650ea8  qd8  oo \n07\nc\nrv05";Electronics;1;"https://scontent.cdninstagram.com/t51.2885-15/e35/12912586_223127798041375_1752371184_n.jpg?ig_cache_key=MTIxNTczMzU5NzE4MTM2MjAxNg%3D%3D.2"
"geekfitnessofficial";"Double tap if you agree✔️✌️";Electronics;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/1208445_866451973464057_1694019533_n.jpg?ig_cache_key=MTIxNTczMjM4ODk0NzEwNDg3Ng%3D%3D.2"
"ryanne.kozlovaht";"#sèxy bs#motd 2ks#again v6#balonhuruf h9 qba#chronicpain kd 05 #electronics j511#ironmaiden 0on#values l91#work r4#tennis 37vqk#naughty v#vscoonly 8n f14q\n95ir3x97g \np pdyi\nosunrck c0\nkr\n\n7e\nx60";Electronics;1;"https://scontent.cdninstagram.com/t51.2885-15/e35/12071197_260420964291526_701279216_n.jpg?ig_cache_key=MTIxNTczMTg0OTk5MDAxNzIwNQ%3D%3D.2"
"willow._vodopyanovawy";"#precious 2#widebody 6zgr4dqci#hooplife h#celebration x9tne1q#windyday t c4hh#likeme io1#visualsgang g80m1 hu#nasa t49w48bj7#performance rdmr#electronics ypj oobxjv\n0tvz7  m\nvu juyva02  st\n8e3r dz3r";Electronics;1;"https://scontent.cdninstagram.com/t51.2885-15/e35/12353180_1017415524973276_206959268_n.jpg?ig_cache_key=MTIxNTczMTgzOTU2MTczNzA5Mw%3D%3D.2"
